key,title,authors,year,journal,publisher,citations,url,tool
dutheil2002baobab,BAOBAB: a Java editor for large phylogenetic trees,"Dutheil, Julien and Galtier, Nicolas",2002,Bioinformatics,Oxford University Press,8,https://academic.oup.com/bioinformatics/article-abstract/18/6/892/220932,Baobab
parr2004visualizations,Visualizations for taxonomic and phylogenetic trees,"Parr, Cynthia Sims and Lee, Bongshin and Campbell, Dana and Bederson, Benjamin B",2004,Bioinformatics,Oxford University Press,44,https://academic.oup.com/bioinformatics/article-abstract/20/17/2997/186074,TaxonTree
griebel2008epos,EPoS: a modular software framework for phylogenetic analysis,"Griebel, Thasso and Brinkmeyer, Malte and B{\""o}cker, Sebastian",2008,Bioinformatics,Oxford University Press,41,https://academic.oup.com/bioinformatics/article-abstract/24/20/2399/257827,EPoS
kim2016visual,Visual Omics Explorer (VOE): a cross-platform portal for interactive data visualization,"Kim, Baekdoo and Ali, Thahmina and Hosmer, Samuel and Krampis, Konstantinos",2016,Bioinformatics,Oxford University Press,5,https://academic.oup.com/bioinformatics/article-abstract/32/13/2050/1743980,VOE
vaughan2017icytree,IcyTree: rapid browser-based visualization for phylogenetic trees and networks,"Vaughan, Timothy G",2017,Bioinformatics,Oxford University Press,4,https://academic.oup.com/bioinformatics/article-abstract/33/15/2392/3604867,IcyTree
bortolussi2005aptreeshape,apTreeshape: statistical analysis of phylogenetic tree shape,"Bortolussi, Nicolas and Durand, Eric and Blum, Michael and Fran{\c{c}}ois, Olivier",2005,Bioinformatics,Oxford University Press,85,https://academic.oup.com/bioinformatics/article-abstract/22/3/363/220436,apTreeshape
tran2018phyloprofile,PhyloProfile: Dynamic visualization and exploration of multi-layered phylogenetic profiles.,"Tran, Ngoc-Vinh and Greshake Tzovaras, Bastian and Ebersberger, Ingo",2018,Bioinformatics,Oxford University Press,0,https://academic.oup.com/bioinformatics/advance-article-pdf/doi/10.1093/bioinformatics/bty225/24716207/bty225.pdf,PhyloProfile
carbone2016t,"T-BAS: Tree-Based Alignment Selector toolkit for phylogenetic-based placement, alignment downloads and metadata visualization: an example with the Pezizomycotina tree of life","Carbone, Ignazio and White, James B and Miadlikowska, Jolanta and Arnold, A Elizabeth and Miller, Mark A and Kauff, Frank and U'ren, Jana M and May, Georgiana and Lutzoni, Fran{\c{c}}ois",2016,Bioinformatics,Oxford University Press,4,https://academic.oup.com/bioinformatics/article-abstract/33/8/1160/2730230,T-BAS
robinson2016phylo,Phylo. io: interactive viewing and comparison of large phylogenetic trees on the web,"Robinson, Oscar and Dylus, David and Dessimoz, Christophe",2016,Molecular biology and evolution,Society for Molecular Biology and Evolution,35,https://academic.oup.com/mbe/article-abstract/33/8/2163/2579233,Phylo.io
veidenberg2015wasabi,Wasabi: an integrated platform for evolutionary sequence analysis and data visualization,"Veidenberg, Andres and Medlar, Alan and L{\""o}ytynoja, Ari",2015,Molecular biology and evolution,Oxford University Press,12,https://academic.oup.com/mbe/article-abstract/33/4/1126/2579418,Wasabi
huang2016treescaper,TreeScaper: visualizing and extracting phylogenetic signal from sets of trees,"Huang, Wen and Zhou, Guifang and Marchand, Melissa and Ash, Jeremy R and Morris, David and Van Dooren, Paul and Brown, Jeremy M and Gallivan, Kyle A and Wilgenbusch, Jim C",2016,Molecular biology and evolution,Oxford University Press,8,https://academic.oup.com/mbe/article-abstract/33/12/3314/2450098,TreeScaper
foster2017metacoder,Metacoder: An R package for visualization and manipulation of community taxonomic diversity data,"Foster, Zachary SL and Sharpton, Thomas J and Gr{\""u}nwald, Niklaus J",2017,PLoS computational biology,Public Library of Science,16,http://journals.plos.org/ploscompbiol/article?rev=2&id=10.1371/journal.pcbi.1005404,Metacoder
mcmurdie2013phyloseq,phyloseq: an R package for reproducible interactive analysis and graphics of microbiome census data,"McMurdie, Paul J and Holmes, Susan",2013,PloS one,Public Library of Science,1399,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0061217,phyloseq
munzner2003treejuxtaposer,TreeJuxtaposer: scalable tree comparison using Focus+ Context with guaranteed visibility,"Munzner, Tamara and Guimbreti{\`e}re, Fran{\c{c}}ois and Tasiran, Serdar and Zhang, Li and Zhou, Yunhong",2003,,,386,https://dl.acm.org/citation.cfm?id=882291,TreeJuxtaposer
perriere1996query,WWW-query: an on-line retrieval system for biological sequence banks,"Perriere, Guy and Gouy, Manolo",1996,Biochimie,Elsevier,1479,https://www.sciencedirect.com/science/article/pii/0300908496847687,NJplot
chevenet2006treedyn,TreeDyn: towards dynamic graphics and annotations for analyses of trees,"Chevenet, Fran{\c{c}}ois and Brun, Christine and Ba{\~n}uls, Anne-Laure and Jacq, Bernard and Christen, Richard",2006,BMC bioinformatics,BioMed Central,791,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-7-439,TreeDyn
ranwez2009phyloexplorer,"PhyloExplorer: a web server to validate, explore and query phylogenetic trees","Ranwez, Vincent and Clairon, Nicolas and Delsuc, Fr{\'e}d{\'e}ric and Pourali, Saeed and Auberval, Nicolas and Diser, Sorel and Berry, Vincent",2009,BMC Evolutionary Biology,BioMed Central,19,https://bmcevolbiol.biomedcentral.com/articles/10.1186/1471-2148-9-108,PhyloExplorer
fiorini2014compphy,CompPhy: a web-based collaborative platform for comparing phylogenies,"Fiorini, Nicolas and Lefort, Vincent and Chevenet, Fran{\c{c}}ois and Berry, Vincent and Chifolleau, Anne-Muriel Arigon",2014,BMC evolutionary biology,BioMed Central,6,https://bmcevolbiol.biomedcentral.com/articles/10.1186/s12862-014-0253-5,CompPhy
smits2010jsphylosvg,jsPhyloSVG: a javascript library for visualizing interactive and vector-based phylogenetic trees on the web,"Smits, Samuel A and Ouverney, Cleber C",2010,PloS one,Public Library of Science,74,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0012267,jsPhyloSVG
han2009phyloxml,phyloXML: XML for evolutionary biology and comparative genomics,"Han, Mira V and Zmasek, Christian M",2009,BMC bioinformatics,BioMed Central,379,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-10-356,Archaeopteryx
pethica2010treevector,"TreeVector: scalable, interactive, phylogenetic trees for the web","Pethica, Ralph and Barker, Gary and Kovacs, Tim and Gough, Julian",2010,PLoS One,Public Library of Science,29,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0008934,TreeVector
lee2006treeplus,Treeplus: Interactive exploration of networks with enhanced tree layouts,"Lee, Bongshin and Parr, Cynthia Sims and Plaisant, Catherine and Bederson, Benjamin B and Veksler, Vladislav Daniel and Gray, Wayne D and Kotfila, Christopher",2006,IEEE Transactions on Visualization and Computer Graphics,IEEE,130,https://ieeexplore.ieee.org/abstract/document/1703363/,TreePlus
guerra2013visualizing,Visualizing change over time using dynamic hierarchies: TreeVersity2 and the StemView,"Guerra-G{\'o}mez, JohnAlexis and Pack, Michael L and Plaisant, Catherine and Shneiderman, Ben",2013,IEEE Transactions on Visualization and Computer Graphics,IEEE,34,https://ieeexplore.ieee.org/abstract/document/6634101/,TreeVersity
hebrard2016metatreemap,MetaTreeMap: An alternative visualization method for displaying metagenomic phylogenic trees,"Hebrard, Maxime and Taylor, Todd D",2016,PloS one,Public Library of Science,4,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0158261,MetaTreeMap
chen2015mixturetree,MixtureTree annotator: a program for automatic colorization and visual annotation of MixtureTree,"Chen, Shu-Chuan and Ogata, Aaron",2015,PloS one,Public Library of Science,2,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0118893,MixtureTree annotator
benavente2015phytb,PhyTB: Phylogenetic tree visualisation and sample positioning for M. tuberculosis,"Benavente, Ernest D and Coll, Francesc and Furnham, Nick and McNerney, Ruth and Glynn, Judith R and Campino, Susana and Pain, Arnab and Mohareb, Fady R and Clark, Taane G",2015,BMC bioinformatics,BioMed Central,12,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-015-0603-3,PhyTB
hughes2004visualising,Visualising very large phylogenetic trees in three dimensional hyperbolic space,"Hughes, Timothy and Hyun, Young and Liberles, David A",2004,BMC bioinformatics,BioMed Central,66,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-5-48,Walrus
marco2007general,A general strategy to determine the congruence between a hierarchical and a non-hierarchical classification,"Marco, Antonio and Mar{\'\i}n, Ignacio",2007,BMC bioinformatics,BioMed Central,8,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-442,TreeTracker
stoltzfus2013phylotastic,"Phylotastic! Making tree-of-life knowledge accessible, reusable and convenient","Stoltzfus, Arlin and Lapp, Hilmar and Matasci, Naim and Deus, Helena and Sidlauskas, Brian and Zmasek, Christian M and Vaidya, Gaurav and Pontelli, Enrico and Cranston, Karen and Vos, Rutger and others",2013,BMC bioinformatics,BioMed Central,23,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-14-158,Phylotastic
allende2015treelink,"Treelink: data integration, clustering and visualization of phylogenetic trees","Allende, Christian and Sohn, Erik and Little, Cedric",2015,BMC bioinformatics,BioMed Central,4,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-015-0860-1,Treelink
beccati2017silva,SILVA tree viewer: interactive web browsing of the SILVA phylogenetic guide trees,"Beccati, Alan and Gerken, Jan and Quast, Christian and Yilmaz, Pelin and Gl{\""o}ckner, Frank Oliver",2017,BMC bioinformatics,BioMed Central,0,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1841-3,SILVA Tree Viewer
machado2015ybyra,YBYR{\'A} facilitates comparison of large phylogenetic trees,"Machado, Denis Jacob",2015,BMC bioinformatics,BioMed Central,9,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-015-0642-9,YBYRÁ
asnicar2015compact,Compact graphical representation of phylogenetic data and metadata with GraPhlAn,"Asnicar, Francesco and Weingart, George and Tickle, Timothy L and Huttenhower, Curtis and Segata, Nicola",2015,PeerJ,PeerJ Inc.,136,https://peerj.com/articles/1029/,GraPhlAn
moshiri2018treeswift,TreeSwift: a massively scalable Python package for trees,"Moshiri, Niema",2018,bioRxiv,Cold Spring Harbor Laboratory,0,https://www.biorxiv.org/content/early/2018/05/18/325522.abstract,TreeSwift
huang2013masttreedist,MASTtreedist: visualization of tree space based on maximum agreement subtree,"Huang, Hong and Li, Yongji",2013,Journal of Computational Biology,"Mary Ann Liebert, Inc. 140 Huguenot Street, 3rd Floor New Rochelle, NY 10801 USA",2,https://www.liebertpub.com/doi/abs/10.1089/cmb.2012.0243,MASTtreedist
kreft2017phyd3,PhyD3: a phylogenetic tree viewer with extended phyloXML support for functional genomics data visualization,"Kreft, {\L}ukasz and Botzki, Alexander and Coppens, Frederik and Vandepoele, Klaas and Van Bel, Michiel",2017,Bioinformatics,Oxford University Press,10,https://academic.oup.com/bioinformatics/article-abstract/33/18/2946/3835380,PhyD3
huber2002spectronet,Spectronet: a package for computing spectra and median networks,"Huber, Katharina T and Langton, Michael and Penny, David and Moulton, Vincent and Hendy, Michael",2002,Applied bioinformatics,,89,https://pdfs.semanticscholar.org/7e23/6aa65df4ba1801ba55b20fe9afb94cbdd68f.pdf,Spectronet
calvignac2014clock,"Clock rooting further demonstrates that Guinea 2014 EBOV is a member of the Za{\""\i}re lineage","Calvignac-Spencer, S{\'e}bastien and Schulze, Jakob M and Zickmann, Franziska and Renard, Bernhard Y",2014,PLoS currents,Public Library of Science,23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4073806/,RootAnnotator
peterson2007treeviewj,TreeViewJ: An application for viewing and analyzing phylogenetic trees,"Peterson, Matthew W and Colosimo, Marc E",2007,Source Code for Biology and Medicine,BioMed Central,11,https://scfbm.biomedcentral.com/articles/10.1186/1751-0473-2-7,TreeViewJ
chen2009colortree,ColorTree: a batch customization tool for phylogenic trees,"Chen, Wei-Hua and Lercher, Martin J",2009,BMC research notes,BioMed Central,10,https://bmcresnotes.biomedcentral.com/articles/10.1186/1756-0500-2-155,ColorTree
kalderimis2014biojs,BioJS DAGViewer: A reusable JavaScript component for displaying directed graphs,"Kalderimis, Alexis and Stepan, Radek and Sullivan, Julie and Lyne, Rachel and Lyne, Michael and Micklem, Gos",2014,F1000Research,Faculty of 1000 Ltd,4,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3945768.1/,BioJS DAGViewer
lespinats2011colorphylo,ColorPhylo: a color code to accurately display taxonomic classifications,"Lespinats, Sylvain and Fertil, Bernard",2011,Evolutionary Bioinformatics,"SAGE Publications Sage UK: London, England",3,http://journals.sagepub.com/doi/abs/10.4137/EBO.S7565,ColorPhylo
bilderbeek2018babette,"babette: BEAU ti 2, BEAST 2 and Tracer for R","Bilderbeek, Richel JC and Etienne, Rampal S",2018,Methods in Ecology and Evolution,Wiley Online Library,0,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.13032,Tracer
michonneau2016rotl,rotl: an R package to interact with the Open Tree of Life data,"Michonneau, Fran{\c{c}}ois and Brown, Joseph W and Winter, David J",2016,Methods in Ecology and Evolution,Wiley Online Library,34,https://onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12593,Rotl
moore2018iroki,Iroki: automatic customization and visualization of phylogenetic trees,"Moore, Ryan M and Harrison, Amelia O and McAllister, Sean M and Wommack, K Eric",2018,bioRxiv,Cold Spring Harbor Laboratory,1,https://www.biorxiv.org/content/early/2018/08/15/106138.abstract,Iroki
sanderson2006paloverde,Paloverde: an OpenGL 3D phylogeny browser,"Sanderson, Michael J",2006,Bioinformatics,Oxford University Press,28,https://academic.oup.com/bioinformatics/article-abstract/22/8/1004/227412,Paloverde
chevenet2010scriptree,ScripTree: scripting phylogenetic graphics,"Chevenet, Fran{\c{c}}ois and Croce, Olivier and Hebrard, Maxime and Christen, Richard and Berry, Vincent",2010,Bioinformatics,Oxford University Press,15,https://academic.oup.com/bioinformatics/article-abstract/26/8/1125/207460,ScripTree
jolley2014phylojive,Phylojive: Integrating biodiversity data with the tree of life,"Jolley-Rogers, Garry and Varghese, Temi and Harvey, Paul and dos Remedios, Nick and Miller, Joseph T",2014,Bioinformatics,Oxford University Press,5,https://academic.oup.com/bioinformatics/article-abstract/30/9/1308/237899,PhyloJIVE
jeon2005jphydit,jPHYDIT: a JAVA-based integrated environment for molecular phylogeny of ribosomal RNA sequences,"Jeon, Yoon-Seong and Chung, Hwanwon and Park, Sunyoung and Hur, Inae and Lee, Jae-Hak and Chun, Jongsik",2005,Bioinformatics,Oxford University Press,160,https://academic.oup.com/bioinformatics/article-abstract/21/14/3171/266800,jPHYDIT
savva2004drawing,Drawing phylogenetic trees in LATEX and Microsoft Word,"Savva, George and Conn, Jenn and Dicks, Jo",2004,Bioinformatics,Oxford University Press,5,https://academic.oup.com/bioinformatics/article-abstract/20/14/2322/213985,newicktree
ruths2000arbor,Arbor 3D: an interactive environment for examining phylogenetic and taxonomic trees in multiple dimensions,"Ruths, Derek A and Chen, Edward S and Ellis, Leland",2000,Bioinformatics,Oxford University Press,30,https://academic.oup.com/bioinformatics/article-abstract/16/11/1003/216401,Arbor3D
mori2010vitcomic,VITCOMIC: visualization tool for taxonomic compositions of microbial communities based on 16S rRNA gene sequences,"Mori, Hiroshi and Maruyama, Fumito and Kurokawa, Ken",2010,BMC bioinformatics,BioMed Central,26,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-11-332,VITCOMIC
lott2006simplifying,Simplifying gene trees for easier comprehension,"Lott, Paul-Ludwig and Mundry, Marvin and Sassenberg, Christoph and Lorkowski, Stefan and Fuellen, Georg",2006,BMC bioinformatics,BioMed Central,9,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-7-231,TreeSimplifier
kim2007three,"Three-Dimensional Phylogeny Explorer: Distinguishing paralogs, lateral transfer, and violation of"" molecular clock"" assumption with 3D visualization","Kim, Namshin and Lee, Christopher",2007,BMC bioinformatics,BioMed Central,8,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-213,3DPE
fredslund2006phy,PHY{\textperiodcentered} FI: fast and easy online creation and manipulation of phylogeny color figures,"Fredslund, Jakob",2006,BMC bioinformatics,BioMed Central,46,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-7-315,PHY·FI
marco2005pointree,PoInTree: a polar and interactive phylogenetic tree,"Marco, Carreras and Eleonora, Gianti and Luca, Sartori and Edward, Plyte Simon and Antonella, Isacchi and Roberta, Bosotti",2005,"Genomics, proteomics \& bioinformatics",Elsevier,3,https://www.sciencedirect.com/science/article/pii/S1672022905030093,PoInTree
shank2018phylotree,phylotree. js-a JavaScript library for application development and interactive data visualization in phylogenetics,"Shank, Stephen D and Weaver, Steven and Pond, Sergei L Kosakovsky",2018,BMC bioinformatics,BioMed Central,0,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-018-2283-2?utm_campaign=Revue%20newsletter&utm_medium=Newsletter&utm_source=Programming%20Innovations,phylotree.js
jacox2016eccetera,ecceTERA: comprehensive gene tree-species tree reconciliation using parsimony,"Jacox, Edwin and Chauve, Cedric and Sz{\""o}ll{\H{o}}si, Gergely J and Ponty, Yann and Scornavacca, Celine",2016,Bioinformatics,Oxford University Press,25,https://academic.oup.com/bioinformatics/article-abstract/32/13/2056/1743358,ecceTERA
jacox2017resolution,"Resolution and reconciliation of non-binary gene trees with transfers, duplications and losses","Jacox, Edwin and Weller, Mathias and Tannier, Eric and Scornavacca, Celine",2017,Bioinformatics,Oxford University Press,3,https://academic.oup.com/bioinformatics/article-abstract/33/7/980/2883389,ecceTERA
wu2013most,"Most parsimonious reconciliation in the presence of gene duplication, loss, and deep coalescence using labeled coalescent trees","Wu, Yi-Chieh and Rasmussen, Matthew D and Bansal, Mukul S and Kellis, Manolis",2013,Genome research,Cold Spring Harbor Lab,26,http://genome.cshlp.org/content/early/2013/12/05/gr.161968.113.abstract,DLCpar
chevenet2015sylvx,SylvX: a viewer for phylogenetic tree reconciliations,"Chevenet, Fran{\c{c}}ois and Doyon, Jean-Philippe and Scornavacca, Celine and Jacox, Edwin and Jousselin, Emmanuelle and Berry, Vincent",2015,Bioinformatics,Oxford University Press,7,https://academic.oup.com/bioinformatics/article-abstract/32/4/608/1744345,SylvX
merkle2010parameter,A parameter-adaptive dynamic programming approach for inferring cophylogenies,"Merkle, Daniel and Middendorf, Martin and Wieseke, Nicolas",2010,BMC bioinformatics,BioMed Central,85,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-11-S1-S60,CoRe-PA
sennblad2007primetv,Primetv: a viewer for reconciled trees,"Sennblad, Bengt and Schreil, Eva and Sonnhammer, Ann-Charlotte Berglund and Lagergren, Jens and Arvestad, Lars",2007,BMC bioinformatics,BioMed Central,14,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-148,primetv
hamel2005pentaplot,PentaPlot: A software tool for the illustration of genome mosaicism,"Hamel, Lutz and Zhaxybayeva, Olga and Gogarten, J Peter",2005,BMC bioinformatics,BioMed Central,6,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-6-139,PentaPlot
rogers2017reconciliation,"Reconciliation feasibility in the presence of gene duplication, loss, and coalescence with multiple individuals per species","Rogers, Jennifer and Fishberg, Andrew and Youngs, Nora and Wu, Yi-Chieh",2017,BMC bioinformatics,BioMed Central,1,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-017-1701-1,PLCT
conow2010jane,Jane: a new tool for the cophylogeny reconstruction problem,"Conow, Chris and Fielder, Daniel and Ovadia, Yaniv and Libeskind-Hadas, Ran",2010,Algorithms for Molecular Biology,BioMed Central,221,https://almob.biomedcentral.com/articles/10.1186/1748-7188-5-16,Jane
ma2016dtl,DTL-RnB: Algorithms and tools for summarizing the space of DTL reconciliations,"Ma, Weiyun and Smirnov, Dmitriy and Forman, Juliet and Schweickart, Annalise and Slocum, Carter and Srinivasan, Srinidhi and Libeskind-Hadas, Ran",2016,IEEE/ACM transactions on computational biology and bioinformatics,IEEE,3,https://ieeexplore.ieee.org/iel7/8857/4359833/07423775.pdf,DTL-RnB
severin2014interactive,Interactive visualization and analysis of large-scale sequencing datasets using ZENBU,"Severin, Jessica and Lizio, Marina and Harshbarger, Jayson and Kawaji, Hideya and Daub, Carsten O and Hayashizaki, Yoshihide and Bertin, Nicolas and Forrest, Alistair RR and Consortium, FANTOM and others",2014,Nature biotechnology,Nature Publishing Group,75,https://www.nature.com/nbt/journal/v32/n3/full/nbt.2840.html,ZENBU
robinson2017variant,Variant review with the integrative genomics viewer,"Robinson, James T and Thorvaldsd{\'o}ttir, Helga and Wenger, Aaron M and Zehir, Ahmet and Mesirov, Jill P",2017,Cancer research,AACR,5,http://cancerres.aacrjournals.org/content/77/21/e31.short,IGV
thorvaldsdottir2013integrative,Integrative Genomics Viewer (IGV): high-performance genomics data visualization and exploration,"Thorvaldsd{\'o}ttir, Helga and Robinson, James T and Mesirov, Jill P",2013,Briefings in bioinformatics,Oxford University Press,2879,https://academic.oup.com/bib/article/doi/10.1093/bib/bbs017/208453,IGV
robinson2011integrative,Integrative genomics viewer,"Robinson, James T and Thorvaldsd{\'o}ttir, Helga and Winckler, Wendy and Guttman, Mitchell and Lander, Eric S and Getz, Gad and Mesirov, Jill P",2011,Nature biotechnology,Nature Publishing Group,4042,https://www.nature.com/nbt/journal/v29/n1/abs/nbt.1754.html,IGV
novak2016graph,A graph extension of the positional Burrows-Wheeler transform and its applications,"Novak, Adam M and Garrison, Erik and Paten, Benedict",2016,,,11,https://link.springer.com/chapter/10.1007/978-3-319-43681-4_20,VG
garrison2017sequence,Sequence variation aware genome references and read mapping with the variation graph toolkit,"Garrison, Erik and Sir{\'e}n, Jouni and Novak, Adam M and Hickey, Glenn and Eizenga, Jordan M and Dawson, Eric T and Jones, William and Lin, Michael F and Paten, Benedict and Durbin, Richard",2017,bioRxiv,Cold Spring Harbor Laboratory,7,https://www.biorxiv.org/content/early/2017/12/15/234856.abstract,VG
goldman2018online,"Online resources for PCAWG data exploration, visualization, and discovery","Goldman, Mary and Zhang, Junjun and Fonseca, Nuno A and Xiang, Qian and Craft, Brian and Pi{\~n}eiro-Y{\'a}{\~n}ez, Elena and O'Connor, Brian and Bazant, Wojciech and Barrera, Elisabet and Mu{\~n}oz, Alfonso and others",2018,bioRxiv,Cold Spring Harbor Laboratory,1,https://www.biorxiv.org/content/early/2018/05/09/163907.abstract,PCAWG-Scout
goecks2012ngs,NGS analyses by visualization with Trackster,"Goecks, Jeremy and Coraor, Nate and Nekrutenko, Anton and Taylor, James and Team, Galaxy and others",2012,Nature biotechnology,Nature Publishing Group,32,https://www.nature.com/nbt/journal/v30/n11/abs/nbt.2404.html,Trackster
lajugie2014genplay,"GenPlay Multi-Genome, a tool to compare and analyze multiple human genomes in a graphical interface","Lajugie, Julien and Fourel, Nicolas and Bouhassira, Eric E",2014,Bioinformatics,Oxford University Press,5,https://academic.oup.com/bioinformatics/article-abstract/31/1/109/2365606,GenPlay
lajugie2011genplay,"GenPlay, a multipurpose genome analyzer and browser","Lajugie, Julien and Bouhassira, Eric E",2011,Bioinformatics,Oxford University Press,21,https://academic.oup.com/bioinformatics/article-abstract/27/14/1889/194658,GenPlay
carver2011artemis,Artemis: an integrated platform for visualization and analysis of high-throughput sequence-based experimental data,"Carver, Tim and Harris, Simon R and Berriman, Matthew and Parkhill, Julian and McQuillan, Jacqueline A",2011,Bioinformatics,Oxford University Press,361,https://academic.oup.com/bioinformatics/article-abstract/28/4/464/213043,Artemis
chelaru2015epiviz,Epiviz: a view inside the design of an integrated visual analysis software for genomics,"Chelaru, Florin and Bravo, H{\'e}ctor Corrada",2015,BMC bioinformatics,BioMed Central,3,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-16-S11-S4,Epiviz
chelaru2014epiviz,Epiviz: interactive visual analytics for functional genomics data,"Chelaru, Florin and Smith, Llewellyn and Goldstein, Naomi and Bravo, H{\'e}ctor Corrada",2014,Nature methods,Nature Publishing Group,37,https://www.nature.com/articles/nmeth.3038,Epiviz
pignatelli2016tnt,TnT: a set of libraries for visualizing trees and track-based annotations for the web,"Pignatelli, Miguel",2016,Bioinformatics,Oxford University Press,4,https://academic.oup.com/bioinformatics/article-abstract/32/16/2524/1743657,TnT
westesson2012visualizing,Visualizing next-generation sequencing data with JBrowse,"Westesson, Oscar and Skinner, Mitchell and Holmes, Ian",2012,Briefings in bioinformatics,Oxford University Press,57,https://academic.oup.com/bib/article-abstract/14/2/172/208227,JBrowse
skinner2010setting,Setting up the JBrowse genome browser,"Skinner, Mitchell E and Holmes, Ian H",2010,Current protocols in bioinformatics,Wiley Online Library,24,https://onlinelibrary.wiley.com/doi/abs/10.1002/0471250953.bi0913s32,JBrowse
skinner2009jbrowse,JBrowse: a next-generation genome browser,"Skinner, Mitchell E and Uzilov, Andrew V and Stein, Lincoln D and Mungall, Christopher J and Holmes, Ian H",2009,Genome research,Cold Spring Harbor Lab,464,http://genome.cshlp.org/content/early/2009/06/30/gr.094607.109.short,JBrowse
freese2016integrated,Integrated genome browser: visual analytics platform for genomics,"Freese, Nowlan H and Norris, David C and Loraine, Ann E",2016,Bioinformatics,Oxford University Press,44,https://academic.oup.com/bioinformatics/article-abstract/32/14/2089/1742750,IGB
gulledge2014protocol,A protocol for visual analysis of alternative splicing in RNA-Seq data using integrated genome browser,"Gulledge, Alyssa A and Vora, Hiral and Patel, Ketan and Loraine, Ann E",2014,,Springer,4,https://link.springer.com/protocol/10.1007/978-1-4939-0700-7_8,IGB
nicol2009integrated,The Integrated Genome Browser: free software for distribution and exploration of genome-scale datasets,"Nicol, John W and Helt, Gregg A and Blanchard Jr, Steven G and Raja, Archana and Loraine, Ann E",2009,Bioinformatics,Oxford University Press,518,https://academic.oup.com/bioinformatics/article-abstract/25/20/2730/193359,IGB
goldman2018ucsc,The UCSC Xena Platform for cancer genomics data visualization and interpretation,"Goldman, Mary and Craft, Brian and Brooks, Angela N and Zhu, Jingchun and Haussler, David",2018,bioRxiv,Cold Spring Harbor Laboratory,2,https://www.biorxiv.org/content/early/2018/05/18/326470.abstract,UCSC Xena
katainen2017baseplayer,BasePlayer: Versatile Analysis Software For Large-Scale Genomic Variant Discovery,"Katainen, Riku and Donner, Iikki and Cajuso, Tatiana and Kaasinen, Eevi and Palin, Kimmo and M{\""a}kinen, Veli and Aaltonen, Lauri A and Pitk{\""a}nen, Esa",2017,bioRxiv,Cold Spring Harbor Laboratory,1,https://www.biorxiv.org/content/early/2017/04/11/126482.abstract,BasePlayer
lee2013web,Web Apollo: a web-based genomic annotation editing platform,"Lee, Eduardo and Helt, Gregg A and Reese, Justin T and Munoz-Torres, Monica C and Childers, Chris P and Buels, Robert M and Stein, Lincoln and Holmes, Ian H and Elsik, Christine G and Lewis, Suzanna E",2013,Genome biology,BioMed Central,126,https://genomebiology.biomedcentral.com/articles/10.1186/gb-2013-14-8-r93,Apollo
lee2009apollo,Apollo: a community resource for genome annotation editing,"Lee, Ed and Harris, Nomi and Gibson, Mark and Chetty, Raymond and Lewis, Suzanna",2009,Bioinformatics,Oxford University Press,39,https://academic.oup.com/bioinformatics/article-abstract/25/14/1836/225174,Apollo
fiume2012savant,Savant Genome Browser 2: visualization and analysis for population-scale genomics,"Fiume, Marc and Smith, Eric JM and Brook, Andrew and Strbenac, Dario and Turner, Brian and Mezlini, Aziz M and Robinson, Mark D and Wodak, Shoshana J and Brudno, Michael",2012,Nucleic acids research,Oxford University Press,50,https://academic.oup.com/nar/article-abstract/40/W1/W615/1074612,Savant
fiume2010savant,Savant: genome browser for high-throughput sequencing data,"Fiume, Marc and Williams, Vanessa and Brook, Andrew and Brudno, Michael",2010,Bioinformatics,Oxford University Press,120,https://academic.oup.com/bioinformatics/article-abstract/26/16/1938/217890,Savant
